保管成本指在保管过程中为保管物品而发生的全部费用。,保管成本指在保管过程中为保管物品而发生的全部费用。,10
入库作业准备包括：货位的准备、苫垫材料的准备、验收及装卸搬运器械的准备、人员及单证的准备。,入库作业准备包括：货位的准备、苫垫材料的准备、验收及装卸搬运器械的准备、人员及单证的准备。,10
配送运输的特点：组合最佳路线，使配装和路线有效搭配，工作难度较大。,如何组合成最佳路线，如何使配装和路线有效搭配等，是配送运输的特点，也是难度较大的工作。,10
分货作业：在拣货作业完成之后，将所拣选的货品根据不同的顾客或配送路线进行的分类，对其中需要经过流通加工的商品拣选集中后，先按流通加工方式分类，分别进行加工处理，再按送货要求分类出货的过程。,分货作业是在拣货作业完成之后，将所拣选的货品根据不同的顾客或配送路线进行的分类，对其中需要经过流通加工的商品拣选集中后，先按流通加工方式分类，分别进行加工处理，再按送货要求分类出货的过程。,10
设施空间利用率是指针对空间利用度、有效度要考虑。一句话，提高单位土地面积的使用效率。,设施空间利用率就是针对空间利用度、有效度要考虑。一句话，提高单位土地面积的使用效率。,10
直线职能制的优缺点：优点——命令统一，职责明确，专业化管理程度较高，组织稳定。它既保证了管理体系的集中统一，又可以在各级行政负责人的领导下，充分发挥各专业管理机构的作用；缺点——职能部门之间缺乏交流、协作和配合，职能部门与行政负责人之间容易产生摩擦，组织系统的灵敏度较低，下级的许多工作要直接向上层领导报告请示才能处理，常常造成企业运作效率低下。,优点——命令统一，职责明确，专业化管理程度较高，组织稳定。缺点——组织系统的灵敏度较低，下级的许多工作要直接向上层领导报告请示才能处理，常常造成企业运作效率低下。,4
顾客订单是配送服务的第一个环节，也是配送服务质量得以保证的基础。,顾客订单是配送服务的第一个环节，也是配送服务质量得以保证的基础。,10
配送要素：集货、储存、分拣和拣选、配货、配装、配送运输、送达服务。,配送要素：集货、储存、分拣和拣选、配货、配装、配送运输、送达服务。,10
配送运输是较短距离、较小规模、额度较高的运输形式，一般使用汽车做运输工具。,配送运输是较短距离、较小规模、额度较高的运输形式，一般使用汽车做运输工具。,10
仓储合同的验收包括：验收项目、验收方法、验收期限。,包括：验收项目、验收期限。,7
仓储企业在储存物品过程中，包含装卸搬运、存储保管、流通加工、收发物品等各个环节，和建造、购置仓库等设施设备所消耗的人力、物力、财力及风险成本的总和是指仓储成本。,仓储成本是指仓储企业在储存物品过程中，包括装卸搬运、存储保管、流通加工、收发物品等各个环节，和建造、购置仓库等设施设备所消耗的人力、物力、财力及风险成本的总和。,10
接运卸货一共分为以下情况：场站接货、专用线接车、仓库自行接货、库内接货。,接运卸货一共分为以下情况：场站接货、专用线接车、仓库自行接货、库内接货。,10
订单准备；订单传输；订单录入；订单履行；订单跟踪构成了订单处理的基本流程。,订单准备；订单传输；订单录入；订单履行；订单跟踪构成了订单处理的基本流程。,10
MRP包含：原料、生产、销售、产品结构。 ,MRP包含几个要素：原料、生产、销售、产品结构。 ,10
常用的拣选作业主要有两种，单一拣选和批量拣选。,常用的拣选作业主要有两种，单一拣选和批量拣选。,10
通过对组织内部流程的输入端、输出端的关键参数进行设置、取样、计算、分析，衡量流程绩效的一种目标式量化管理指标，把企业的战略目标分解为可操作的工作目标的工具，企业绩效管理的基础是关键绩效指标。,通过对组织内部流程的输入端、输出端的关键参数进行设置、取样、计算、分析，衡量流程绩效的一种目标式量化管理指标，把企业的战略目标分解为可操作的工作目标的工具，企业绩效管理的基础是关键绩效指标。,10
入库作业计划是存货人发货和仓库部门入库前准备的依据。,入库作业计划是存货人发货和仓库部门入库前准备的依据。,10
RFID的特点：非接触识别，它能穿透雪、雾、冰、涂料、尘垢、高速运动的物体和条形码无法使用的恶劣环境阅读标签，并且阅读速度极快；保密性强。,RFID的特点：非接触识别，它能穿透雪、雾、冰、涂料、尘垢、高速运动的物体和条形码无法使用的恶劣环境阅读标签，并且阅读速度极快；,8
订单处理的基本原则包括：使客户产生信赖感；尽量缩短订货周期；提供紧急订货 ；减少缺货现象；不忽略小客户；装配力求完整；提供对客户有利的包装；要随时提供订单处理的情况。,订单处理的基本原则包括：使客户产生信赖感；尽量缩短订货周期；提供紧急订货 ；减少缺货现象；不忽略小客户；装配力求完整；提供对客户有利的包装；要随时提供订单处理的情况。,10
订单处理的方式包括人工处理和计算机处理。,订单处理的方式：人工处理；计算机处理。,10
分区、订单分割、订单分批、分类是决定分拣策略的主要因素,分区、订单分割、订单分批、分类是决定分拣策略的主要因素,10
绩效管理是指各级管理者和员工为了达到组织目标共同参与的绩效计划制定、绩效实施、绩效评价、绩效评估结果应用、绩效目标提升的持续循环过程，以持续提升个人和组织的绩效。,绩效管理： 各级管理者和员工为了达到组织目标共同参与的绩效计划制定、绩效实施、绩效评价、绩效评估结果应用、绩效目标提升的持续循环过程，以持续提升个人和组织的绩效。,10
人至货前拣选方式的特点：货物处于静态储存方式，要求货物必须是小型，且出货量较少。,人至货前拣选方式的特点：货物处于静态储存方式，要求货物必须是小型，且出货量较少。,10
根据成本的性质可将仓储成本分为固定成本和变动成本两部分。,固定成本,4
一般形成三级仓储管理层次，即决策层、执行监督层和仓库作业层。,一般形成三级仓储管理层次，即决策层、执行监督层和仓库作业层。,10
